,iso_code,location,date,total_cases,new_cases,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million
186,AFG,Afghanistan,2020-07-14,34455.0,4.0,885.0880000000001,0.10300000000000001,25.996,0.051
314,ALB,Albania,2020-07-14,3571.0,117.0,1240.878,40.656,33.010999999999996,0.695
506,DZA,Algeria,2020-07-14,19689.0,494.0,448.99699999999996,11.265,23.215,0.16
629,AND,Andorra,2020-07-14,858.0,3.0,11104.64,38.827,673.008,0.0
744,AGO,Angola,2020-07-14,506.0,0.0,15.395999999999999,0.0,0.7909999999999999,0.0
854,AIA,Anguilla,2020-07-14,3.0,0.0,199.97299999999998,0.0,0.0,0.0
971,ATG,Antigua and Barbuda,2020-07-14,74.0,0.0,755.6569999999999,0.0,30.635,0.0
1101,ARG,Argentina,2020-07-14,103105.0,2952.0,2281.297,65.316,42.106,1.881
1289,ARM,Armenia,2020-07-14,32151.0,182.0,10849.97,61.419,193.37,2.7
1403,ABW,Aruba,2020-07-14,105.0,0.0,983.459,0.0,28.099,0.0
1600,AUS,Australia,2020-07-14,9980.0,183.0,391.374,7.1770000000000005,4.235,0.0
1797,AUT,Austria,2020-07-14,18859.0,12.0,2093.955,1.3319999999999999,78.611,0.0
1987,AZE,Azerbaijan,2020-07-14,24570.0,529.0,2423.274,52.174,30.87,0.69
2106,BHS,Bahamas,2020-07-14,113.0,2.0,287.35,5.086,27.971999999999998,0.0
2302,BHR,Bahrain,2020-07-14,33476.0,535.0,19673.445,314.413,64.058,0.0
2435,BGD,Bangladesh,2020-07-14,186894.0,3099.0,1134.827,18.817,14.517999999999999,0.237
2554,BRB,Barbados,2020-07-14,103.0,0.0,358.42199999999997,0.0,24.359,0.0
2751,BLR,Belarus,2020-07-14,65114.0,182.0,6890.865,19.261,49.527,0.423
2948,BEL,Belgium,2020-07-14,62781.0,74.0,5417.004,6.385,844.4630000000001,0.431
3061,BLZ,Belize,2020-07-14,37.0,0.0,93.053,0.0,5.03,0.0
3181,BEN,Benin,2020-07-14,1378.0,0.0,113.666,0.0,2.145,0.0
3298,BMU,Bermuda,2020-07-14,150.0,0.0,2408.749,0.0,144.525,0.0
3421,BTN,Bhutan,2020-07-14,84.0,0.0,108.863,0.0,0.0,0.0
3546,BOL,Bolivia,2020-07-14,49250.0,1063.0,4219.128,91.065,159.856,5.053999999999999
3650,BES,Bonaire Sint Eustatius and Saba,2020-07-14,7.0,0.0,266.962,0.0,0.0,0.0
3774,BIH,Bosnia and Herzegovina,2020-07-14,6979.0,95.0,2127.215,28.956,68.27600000000001,1.219
3879,BWA,Botswana,2020-07-14,399.0,0.0,169.67,0.0,0.425,0.0
4076,BRA,Brazil,2020-07-14,1884967.0,20286.0,8867.954,95.43700000000001,342.648,3.448
4186,VGB,British Virgin Islands,2020-07-14,8.0,0.0,264.577,0.0,33.071999999999996,0.0
4312,BRN,Brunei,2020-07-14,141.0,0.0,322.298,0.0,6.857,0.0
4439,BGR,Bulgaria,2020-07-14,7411.0,159.0,1066.57,22.883000000000003,39.721,1.151
4563,BFA,Burkina Faso,2020-07-14,1036.0,0.0,49.562,0.0,2.535,0.0
4668,BDI,Burundi,2020-07-14,269.0,19.0,22.623,1.598,0.084,0.0
4856,KHM,Cambodia,2020-07-14,165.0,9.0,9.869,0.5379999999999999,0.0,0.0
4980,CMR,Cameroon,2020-07-14,15173.0,0.0,571.577,0.0,13.524000000000001,0.0
5177,CAN,Canada,2020-07-14,108144.0,565.0,2865.337,14.97,232.896,0.185
5293,CPV,Cape Verde,2020-07-14,1722.0,24.0,3097.1890000000003,43.166000000000004,34.173,0.0
5410,CYM,Cayman Islands,2020-07-14,201.0,0.0,3058.43,0.0,15.216,0.0
5531,CAF,Central African Republic,2020-07-14,4321.0,33.0,894.6610000000001,6.832999999999999,10.974,0.0
5648,TCD,Chad,2020-07-14,880.0,0.0,53.574,0.0,4.566,0.0
5780,CHL,Chile,2020-07-14,317657.0,2616.0,16617.155,136.847,367.43699999999995,2.354
5977,CHN,China,2020-07-14,85172.0,55.0,59.175,0.038,3.225,0.001
6109,COL,Colombia,2020-07-14,154227.0,3782.0,3031.0190000000002,74.328,107.20700000000001,2.909
6183,COM,Comoros,2020-07-14,317.0,0.0,364.538,0.0,8.05,0.0
6304,COG,Congo,2020-07-14,2103.0,0.0,381.11,0.0,8.517000000000001,0.0
6433,CRI,Costa Rica,2020-07-14,8036.0,440.0,1577.507,86.374,6.085,0.196
