,Sr.No,States/UT,Confirmed,Recovered,Deceased,Total
21,20,Maharashtra,107963,149007,10695,267665
31,30,Tamil Nadu,47915,97310,2099,147324
17,16,Karnataka,25845,17390,842,44077
10,9,Delhi,18664,93236,3446,115346
3,2,Andhra Pradesh,15144,17467,408,33019
35,34,Uttar Pradesh,13758,24983,983,39724
32,31,Telangana,12530,24840,375,37745
36,35,West Bengal,11927,19931,980,32838
12,11,Gujarat,11065,30503,2069,43637
5,4,Assam,6351,11416,40,17807
6,5,Bihar,6261,12849,174,19284
29,28,Rajasthan,5885,19161,525,25571
13,12,Haryana,5226,17090,312,22628
20,19,Madhya Pradesh,4757,13575,673,19005
15,14,Jammu and Kashmir,4755,6223,195,11173
18,17,Kerala,4458,4438,34,8930
26,25,Odisha,4342,9864,74,14280
28,27,Punjab,2635,5663,213,8511
16,15,Jharkhand,1628,2427,36,4091
11,10,Goa,1128,1607,18,2753
8,7,Chhattisgarh,1084,3275,20,4379
34,33,Uttarakhand,769,2867,50,3686
22,21,Manipur,702,970,0,1672
27,26,Puducherry,684,829,18,1531
33,32,Tripura,630,1538,2,2170
25,24,Nagaland,550,346,0,896
14,13,Himachal Pradesh,347,951,11,1309
4,3,Arunachal Pradesh,306,153,3,462
23,22,Meghalaya,250,66,2,318
9,8,Dadra and Nagar Haveli and Daman and Diu,209,310,1,520
19,18,Ladakh,146,946,1,1093
7,6,Chandigarh,144,446,10,600
30,29,Sikkim,122,87,0,209
24,23,Mizoram,79,159,0,238
2,1,Andaman and Nicobar Islands,57,109,0,166
